category,id,prompt_en,type,prompt_length,class
Anime_Stylization,000,"4boys, 5girls, multiple boys, multiple girls, nun, anime, white background, arm up, hand up, hands up, heart hands, looking at another, looking at viewer, blush, happy tears, light blush, light smile, wrinkled skin, horns, mustache, no mouth, open mouth, sweatdrop, blue eyes, red eyes, heart-shaped pupils, symbol-shaped pupils, eyepatch, blonde hair, brown hair, facial hair, grey hair, long hair, red hair, short hair, swept bangs, twintails, bare legs, tears, black dress, black jacket, collared shirt, dress, gloves, hat, jacket, off-shoulder dress, pants, red shirt, shirt, top hat, veil, white dress, white gloves, white jacket, white pants, white shirt, white veil, bare shoulders, black necktie, blue ribbon, jewelry, long sleeves, necktie, off shoulder, ribbon, finger counting, absurdres, chain necklace, highres, necklace, :3, beak, bonnet, burning, chain, confetti, everyone, fur trim, heart, middle w, old, old man, pendant, sanpaku, teardrop, w, 4-finger heart hands","T, P",long,
Anime_Stylization,001,"1girl, solo, anime, looking at viewer, expressionless, red eyes, eyewear on head, blonde hair, short hair, large breasts, breasts, covered navel, gloves, jacket, sunglasses, belt, jewelry, off shoulder, earrings, highres, fur trim, headscarf","T, P",middle,
Anime_Stylization,002,"2boys, 3girls, multiple boys, multiple girls, indoors, holding, holding knife, grin, smile, teeth, closed eyes, eyelashes, black-framed eyewear, glasses, round eyewear, brown hair, braid, breast pocket, school uniform, shirt, vest, yellow vest, necktie, short sleeves, highres, knife, poster (object), bowl, carrot, ceiling, character print, faucet, pocket, glass bowl, orange mikan, sieve, anime","T, P",middle,
Anime_Stylization,003,"4boys, multiple boys, anime, male focus, black hair, long hair, purple hair, white hair, barefoot, japanese clothes, kimono, open clothes, open kimono, sunglasses, long sleeves, short sleeves, katana, sword, weapon, hadanugi dousa, sheath, sheathed, tea set","T, P",middle,
Anime_Stylization,004,"Anime, 1boy, dark-skinned male, solo, male focus, holding, holding phone, smile, dark skin, teeth, tongue, tongue out, red eyes, one eye closed, black hair, grey hair, black jacket, hat, jacket, vest, bow, bowtie, jewelry, earrings, cellphone, phone, smartphone","T, P",middle,
Anime_Stylization,005,"2boys, multiple boys, monster boy, yellow background, male focus, bespectacled, leaning on object, looking at another, sitting, sitting on object, smile, open mouth, sharp teeth, tail, teeth, closed eyes, yellow eyes, glasses, aqua hair, blue hair, multicolored hair, short hair, streaked hair, fingerless gloves, gloves, hat, hat ribbon, jacket, open clothes, open vest, pants, shirt, shoes, vest, white pants, white shirt, ribbon, sleeves rolled up, aiguillette, alternate form, blazer, border, buttons, card, checkered, club (shape), diamond (shape), epaulettes, facial mark, fedora, fins, flower, heart, merman, playing card, single sidelock, sneakers, spade (shape), spikes, striped, white border, white flower, scarf belt, three of clubs, anime","T, P",long,
Anime_Stylization,006,"1girl, 2boys, multiple boys, anime, blonde hair, purple hair, sunglasses, logo","T, P",short,
Anime_Stylization,007,"Anime, 4girls, multiple girls, blush, light smile, open mouth, teeth, upper teeth only, brown eyes, one eye closed, black hair, long hair, single hair bun, hair bun, hair ribbon, low twintails, twintails, hakama skirt, japanese clothes, kimono, layered clothes, layered kimono, skirt, purple ribbon, ribbon, highres, flower, folding fan, hakama, hand fan, hina ningyou, hinadan, hinamatsuri, hirabitai, lantern, miko, plant, potted plant, red hakama, saishi, watering can","T, P",long,
Anime_Stylization,008,"6+boys, 6+girls, multiple boys, multiple girls, beat, claves, count waltz, crescendo, falsetto, jitterbug, march, polka, rondo, salsa, serenade, viola, outdoors, full body, flying, holding hands, looking at viewer, black hair, long hair, short hair, silver hair, very long hair, galaxy, parody, space, anime","T, P",middle,
Anime_Stylization,009,"1girl, solo, anime, simple background, white background, falling petals, blush, smile, open mouth, blue eyes, hair over one eye, blonde hair, long hair, asymmetrical bangs, large breasts, breasts, cleavage, sideboob, thigh strap, alternate costume, bridal veil, clothes lift, dress, elbow gloves, gloves, halter dress, thighhighs, veil, white dress, white gloves, white thighhighs, bare shoulders, blue halo, halo, halterneck, absurdres, highres, blue flower, blue petals, blue rose, flower, petals, rose","T, P",long,
Anime_Stylization,010,"1girl, solo, grey background, upper body, looking at viewer, smile, purple eyes, mole under eye, black hair, multicolored hair, streaked hair, hair intakes, mole, grey sweater, sweater, highres, anime","T, P",short,
Anime_Stylization,011,"1girl, mouse girl, solo, anime, outdoors, looking at viewer, smile, animal ears, mouse ears, mouse tail, parted lips, tail, green eyes, black hair, long hair, multicolored hair, red hair, two-tone hair, blunt bangs, sidelocks, single leg pantyhose, black gloves, black shorts, boots, brown pantyhose, brown thighhighs, fingerless gloves, fur-trimmed jacket, gloves, green jacket, grey footwear, high-waist shorts, jacket, pantyhose, shorts, single thighhigh, thighhighs, torn clothes, torn pantyhose, fingernails, nail polish, red nails, highres, fur trim, shadow","T, P",long,
Anime_Stylization,012,"Anime, 1girl, solo, wide shot, looking at viewer, outstretched arms, closed eyes, hair between eyes, colored eyelashes, blue hair, long hair, sidelocks, large breasts, breasts, cleavage, bare legs, blue veil, dress, veil, white dress, white veil, blue nails, nail polish, absurdres, highres, black flower, flower, sandals, zoom layer, two-tone veil","T, P",middle,
Anime_Stylization,013,"1girl, mouse girl, solo, anime, simple background, white background, full body, hand up, holding, looking at viewer, standing, animal ears, ear tag, mouse ears, mouse tail, mouth mask, open mouth, tail, red eyes, thick eyebrows, long hair, very long hair, white hair, ahoge, small breasts, breasts, cleavage, navel, thighs, asymmetrical legwear, black shirt, brown socks, brown thighhighs, denim shorts, grey footwear, grey shorts, jacket, kneehighs, mask, mask pull, open clothes, open jacket, purple jacket, shirt, shoes, short shorts, shorts, single thighhigh, sleeveless shirt, socks, thighhighs, bare shoulders, belt, halo, jewelry, long sleeves, off shoulder, skindentation, sleeveless, tassel, unworn belt, black nails, nail polish, absurdres, highres, ring, crop top, denim, exposed pocket, heart, midriff, see-through cleavage, single kneehigh, single sock, skateboard, stomach, see-through clothes","T, P",long,
Anime_Stylization,014,"1girl, solo, upper body, falling leaves, hand up, looking at viewer, open mouth, chinese hairpin, long hair, hair ornament, hair stick, high ponytail, ponytail, cleavage cutout, china dress, chinese clothes, clothing cutout, dress, highres, monochrome, leaf, anime","T, P",middle,
Anime_Stylization,015,"1boy, androgynous, solo, simple background, white background, full body, male focus, flying sweatdrops, sitting, closed mouth, hair over one eye, no pupils, blonde hair, short hair, freckles, black footwear, black gloves, black shorts, cross-laced footwear, fingerless gloves, gloves, hat, shorts, long sleeves, sleeve cuffs, hugging object, deformed, drop shadow, furrowed brow, invisible chair, light frown, stuffed animal, stuffed penguin, stuffed toy, anime","T, P",long,
Anime_Stylization,016,"Anime, 1girl, solo, hands up, holding, holding phone, looking at viewer, standing, smile, open mouth, red eyes, long hair, very long hair, white hair, twintails, large breasts, breasts, black skirt, black thighhighs, collared shirt, dress shirt, headphones, high-waist skirt, plaid skirt, pleated skirt, shirt, shirt tucked in, skirt, thighhighs, white shirt, bow, bowtie, skindentation, zettai ryouiki, absurdres, highres, heart, phone, suspenders, plaid clothes","T, P",long,
Anime_Stylization,017,"1boy, 2girls, multiple girls, anime, maid, maid apron, maid headdress, indoors, full body, upper body, holding, holding book, holding cup, holding saucer, holding tray, looking at viewer, parted lips, sweatdrop, blue eyes, glasses, blonde hair, brown hair, long hair, red hair, short hair, blunt bangs, bob cut, twintails, freckles, apron, black dress, black footwear, black pants, blue coat, blue dress, boots, coat, collared dress, dress, gloves, grey vest, pants, vest, white gloves, blue bow, bow, collar, gown, jewelry, juliet sleeves, long sleeves, puffy short sleeves, puffy sleeves, short sleeves, vase, necklace, pearl necklace, ascot, blue gemstone, book, bread, brooch, cake, cake slice, cake stand, chair, clenched hand, clumsy, cookie, creamer (vessel), crescent, cup, cupcake, diadem, door, flower, food, fruit, gem, gerbera, jam, jar, macaron, muffin, pink flower, pink rose, plate, purple flower, red gemstone, rose, saucer, scone, strawberry, sugar bowl, sugar cube, swiss roll, table, tablecloth, tea, teacup, teapot, tiara, tiered tray, tile floor, tiles, tray, tripping, white ascot, white flower, duplicate, mousse (food), pixel-perfect duplicate, pound cake","T, P",long,
Anime_Stylization,018,"2girls, multiple girls, anime, looking at viewer, sitting, evil smile, smile, gradient eyes, green eyes, multicolored eyes, black hair, blonde hair, gradient hair, long hair, multicolored hair, short hair, double bun, hair bun, flat chest, medium breasts, alternate breast size, breasts, sweat, dirty clothes, hat, police hat, police uniform, prison clothes, thighhighs, white thighhighs, highres, cage, clock, cuffs, defeat, dirty, dirty face, femdom, gag, gagged, glaring, handcuffs, improvised gag, key, lock, police, policewoman, restrained, tape, tape gag","T, P",long,
Anime_Stylization,019,"1boy, 1girl, two-tone background, looking at another, looking up, hair behind ear, closed eyes, hair between eyes, red eyes, black hair, brown hair, short hair, hair ornament, hairclip, hand on own chest, black serafuku, black shirt, black skirt, brown pants, jacket, pants, pleated skirt, red jacket, red scarf, scarf, school uniform, serafuku, shared clothes, shared scarf, shirt, skirt, long sleeves, sleeves past elbows, highres, anime, border, cherry blossoms, flower, hand in pocket, neckerchief, petals, red border, upside-down, white neckerchief","T, P",long,
Anime_Stylization,020,"1girl, solo, holding, holding staff, looking at viewer, closed mouth, horns, pointy ears, red eyes, long hair, white hair, hair flower, hair ornament, medium breasts, breasts, cleavage, bikini, black bikini, swimsuit, bare shoulders, jewelry, absurdres, highres, monochrome, necklace, apple, flower, food, fruit, spot color, staff, see-through clothes, anime","T, P",middle,
Anime_Stylization,021,"1girl, solo, anime, outdoors, holding, holding umbrella, looking at viewer, smile, closed mouth, blue eyes, hair between eyes, black hair, hair flower, hair ornament, blue kimono, japanese clothes, kimono, long sleeves, wide sleeves, absurdres, highres, oil-paper umbrella, print umbrella, red umbrella, umbrella, blue flower, day, floral print, flower, head tilt, obi, sash","T, P",middle,
Anime_Stylization,022,"1girl, solo, anime, licking lips, looking at viewer, smile, animal ears, closed mouth, tail, tongue, tongue out, wolf ears, wolf tail, grey eyes, scar across eye, long hair, white hair, hair ornament, medium breasts, breasts, bare legs, navel, thighs, scar, scar on face, black coat, black shorts, coat, open clothes, open coat, short shorts, shorts, highres, sword, weapon, bandeau, midriff, strapless, tube top","T, P",long,
Anime_Stylization,023,"1girl, simple background, white background, multiple views, blush, closed mouth, open mouth, blue eyes, hair between eyes, red eyes, black hairband, grey hair, short hair, hair ribbon, hairband, collared shirt, green skirt, shirt, skirt, white shirt, black ribbon, ribbon, short sleeves, highres, anime, buttons","T, P",middle,
Anime_Stylization,024,"Anime, 1girl, solo, indoors, sitting, blush, grin, smile, blue eyes, long hair, very long hair, hair ribbon, huge breasts, between breasts, breasts, cleavage, mole on breast, mole, black skirt, black socks, school uniform, shirt, skirt, socks, white shirt, bare shoulders, black choker, choker, halo, ribbon, highres, miniskirt","T, P",middle,
Anime_Stylization,025,"1boy, solo, anime, simple background, white background, male focus, holding, holding sword, holding weapon, looking at viewer, brown eyes, half-closed eyes, brown hair, short hair, armor, black jacket, jacket, japanese armor, pants, shoulder armor, yellow pants, katana, sword, weapon, animal print, dual wielding, half updo, sheath, sheathed, smirk, tiger print","T, P",middle,
